	first_name	last_name	origin_country	shikona	birthday	height	weight	stable	rank	rank #2	debut	age	highest_rank	special_prizes	no_championships	# of Kinboshi	no_bouts	metric_converter	FN Meaning	Kimino Char/Meaning	Sponsors	Style & Traditions	Years Active
1	Mönkhbatyn	 Davaajargal	Mongolia	Hakuhō Shō	03/11/85	192	155	Miyagino	Yokozuna		03/2001	33	Yokozuna	"Outstanding Performance (3)
Fighting Spirit (1)
Technique (2)"	40	1	40		Haku = “white”, hō = “phoenix”				
2	Yutaka	 Hagiwara	Japan	Kisenosato	07/03/86	188	178	Taganoura	Yokozuna		03/2002	31	Yokozuna	"Outstanding Performance (5)
Fighting Spirit (3)
Technique (1)"	2	3	2						
3	Gantulga	 Ganerdene	Mongolia	Terunofuji	11/29/91	1.93m	178	Magaki, Isegahama	Juryo		01/2011	26	Ōzeki	"Fighting Spirit (3)
Outstanding Performance (1)"	1	0	1						
4	Davaanyamyn	 Byambadorj	Mongolia	Haramafuji	04/15/84	1.86m	137	Ajigawa, Isegahama	Yokozuna		01/2001	34	Yokozuna	Fighting Spirit (1) Technique (5) Outstanding Performance (4)		1	9						
5	Mangaljalavyn	Anand	Mongolia	Kakuryū  Rikisaburō	08/10/85	1.86m	159	Izutsu	Yokozuna		11/2001	32	Yokozuna	Technique (7), Outstanding Performance (2)	5	0	5						
6	Akira	Takayasu	Japan	Takayasu	02/28/90	1.85	180	Taganoura	Ōzeki		03/2005	28	Ōzeki	"Fighting Spirit (4)
Outstanding Performance (3)
Technique (2)"	1	4	1						
7	Gōtarō	Sawai	Japan	Gōeidō	04/06/86	1.84	160	Sakaigawa	Ōzeki		01/2005	32	Ōzeki	Fighting Spirit (3) Outstanding Performance (5) Technique (3)	1	1							
8	Levan 	Gorgadze	Georgia	Tochinoshin Tsuyoshi	10/13/87	1.91	169	Kasugano	Ōzeki		03/2006	30	Ōzeki	"Fighting Spirit (6)
Outstanding Performance (2)
Technique (3)
"	1	2							
9	Batjargal	Munkh-Orgil	Mongolia	"Tamawashi Ichirō
"	11/16/84	1.88	174	Kataonami	Sekiwake		01/2004	33	Sekiwake	1 (Technique)	0	2							
10	Shōdai	Naoya	Japan	Shōdai	11/05/91	1.83	163	Tokitsukaze	Maegashira	4	3/2014	26	Sekiwake	Fighting Spirit (2)	0	1							
11	Mitakeumi	Hisashi	Japan	Mitakeumi	11/25/92	1.86	167	Dewanoumi	Komusubi		3/2015	25	Sekiwake	"Fighting Spririt (1)
Technique (1)
Outstanding Performance (2)"	0	2							
12	Yoshikaze	Masatsugu	Japan	Yoshikaze	03/19/82	1.77	151	Ogurama	Sekiwake		01/2004	36	Maegashira	"Fighting Spirit (4)
Outstanding Performance (2)
Technique (4)"	8	8							
13	Kōsuke	Horikiri	Japan	Abi Masatora	05/04/94	1.87	140	Shikoroyama	Maegashira	2	07/2013	24	Maegashira	Fighting Spirit (1)	1								
14	Kazuki	Ura	Japan	Ura	06/22/92	1.74	137	Kise	Maegashira	16	03/2015	25	Maegashira		0	1							
15	Yūya	Matsutani	Japan	Shohozan	02/09/84	1.78	141	Nishonoseki	Maegashira	2	031/2013	34	Komusubi	"Fighting Spirit (3)
Outstanding Performance (1)"	0	5							
16	Ganbaatar	Munkhsaihan	Mongolia	Chiyoshama	07/20/91	1.84	140	Kokonoe	Maegashira	6	09/2009	26	Maegashira		0	0							
17	Takanobu	Satō	Japan	Takakeishō	08/05/96	1.75	170	Takanohana	Maegashira	10	11/2014	21	Komusubi	Fighting Spirit (1) Outstanding Performance (2)	0	3							
18	Altankhuyag	Ichinnorow	Mongolia	Ichinojō Takashi	04/07/93	1.93m	225	Minato	Sekiwake		01/2014	25	Sekiwake	"Fighting Spirit (1)
Outstanding Performance (1)"	0	5							
19	Shōta	Endō	Japan	Endō	10/19/90	1.84	152	Oitekaze	Komusubi		03/2013	27	Komusubi	"Fighting Spirit (1)
Technique (2)"	0	4							
